"GermplasmId_2","GermplasmId","MG","Year"
"U93_3420","U93_3420","MGIII",1994
"U93_3434","U93_3434","MGIII",1994
"U93_3716_MGIII","U93_3716","MGIII",1994
"A92_526007","A92_526007","MGI",1995
"A92_726004","A92_726004","MGIII",1995
"A93_552034","A93_552034","MGI",1995
"A93_554045","A93_554045","MGI",1995
"A93_555027","A93_555027","MGII",1995
"A93_555031","A93_555031","MGII",1995
"A93_754022_MGIV","A93_754022","MGIV",1994
"A94_572007","A94_572007","MGII",1995
"A94_572009","A94_572009","MGI",1995
"A94_572028","A94_572028","MGI",1995
"A94_572029","A94_572029","MGI",1995
"A94_572033","A94_572033","MGI",1995
"A94_572043","A94_572043","MGI",1995
"A94_572046","A94_572046","MGI",1995
"A94_572049","A94_572049","MGI",1995
"A94_572053","A94_572053","MGI",1995
"A94_572054","A94_572054","MGII",1995
"A94_574015","A94_574015","MGI",1995
"A94_574019","A94_574019","MGI",1995
"A94_574028","A94_574028","MGI",1995
"A94_672021","A94_672021","MGII",1995
"A94_672022","A94_672022","MGII",1995
"A94_672031","A94_672031","MGII",1995
"A94_672034","A94_672034","MGII",1995
"A94_674015","A94_674015","MGII",1995
"A94_674028","A94_674028","MGII",1995
"A94_674038","A94_674038","MGIII",1995
"A94_674046","A94_674046","MGII",1995
"A94_674047","A94_674047","MGIII",1995
"A94_674048","A94_674048","MGII",1995
"A94_674050","A94_674050","MGIII",1995
"A94_772006","A94_772006","MGIII",1995
"A94_772011","A94_772011","MGIII",1995
"A94_772027","A94_772027","MGIII",1995
"A94_774016","A94_774016","MGIII",1995
"A94_774018","A94_774018","MGIII",1995
"A94_774034","A94_774034","MGIII",1995
"A94_774063","A94_774063","MGIII",1995
"Bell","Bell","MGI",1995
"C1903","C1903","MGIII",1995
"C1904","C1904","MGIII",1995
"C1905","C1905","MGIV",1995
"C1906","C1906","MGIV",1995
"C1907","C1907","MGII",1995
"C1908","C1908","MGIII",1995
"C1909","C1909","MGIII",1995
"C1910","C1910","MGII",1995
"C1911","C1911","MGIII",1995
"C1912","C1912","MGII",1995
"C1913","C1913","MGIV",1995
"C1914","C1914","MGII",1995
"C1915","C1915","MGII",1995
"C1916","C1916","MGII",1995
"C1917","C1917","MGII",1995
"C1918","C1918","MGIV",1995
"C1919","C1919","MGIII",1995
"C1920","C1920","MGII",1995
"C1921","C1921","MGIII",1995
"C1922","C1922","MGIV",1995
"C1923","C1923","MGII",1995
"C1924","C1924","MGIV",1995
"C1925","C1925","MGII",1995
"C1926","C1926","MGII",1995
"C1927","C1927","MGIII",1995
"Daksoy","Daksoy","MG00",1995
"Danatto","Danatto","MG0",1995
"E93390","E93390","MGI",1995
"E93396","E93396","MGII",1995
"E93424","E93424","MGII",1995
